Ref,Val,Package,PosX,PosY,Rot,Side
"C1010","1u 16V X5R","C_0603_1608Metric",20.600000,24.700000,-45.000000,top
"C1011","1n 16V X7R","C_0402_1005Metric",5.239411,6.960589,-45.000000,top
"C1012","1n 16V X7R","C_0402_1005Metric",6.700000,5.500000,-45.000000,top
"C1013","1n 16V X7R","C_0402_1005Metric",8.100000,4.000000,-45.000000,top
"C1101","DNP","C_0805_2012Metric",45.250000,46.737500,90.000000,top
"C1102","DNP","C_0805_2012Metric",29.500000,43.150000,-90.000000,top
"C1103","100n 100V X7R","C_1206_3216Metric",37.000000,40.150000,180.000000,top
"C1104","10u 100V X7R","C_1210_3225Metric",41.750000,39.650000,0.000000,top
"C1201","DNP","C_0805_2012Metric",8.000000,46.818750,90.000000,top
"C1202","DNP","C_0805_2012Metric",18.750000,43.000000,-90.000000,top
"C1203","100n 100V X7R","C_1206_3216Metric",16.100000,39.800000,0.000000,top
"C1204","10u 100V X7R","C_1210_3225Metric",11.300000,39.800000,180.000000,top
"C1301","DNP","C_0805_2012Metric",5.500000,46.650000,90.000000,top
"C1302","DNP","C_0805_2012Metric",-10.000000,43.150000,-90.000000,top
"C1304","100n 100V X7R","C_1206_3216Metric",-2.750000,39.650000,180.000000,top
"C1305","10u 100V X7R","C_1210_3225Metric",1.975000,39.650000,0.000000,top
"C1401","100n 100V X7R","C_0603_1608Metric",44.750000,35.600000,180.000000,top
"C1402","100n 100V X7R","C_0603_1608Metric",-6.050000,18.375000,-90.000000,top
"C1501","100n 100V X7R","C_0603_1608Metric",47.925000,34.000000,0.000000,top
"C1701","4u7 16V X7R","C_0603_1608Metric",46.925000,21.075000,0.000000,top
